task,source,query,method,total_query_steps,reusable_prefix_length,reuse_ratio,partial_reuse_steps,partial_reuse_ratio,max_reuse_depth,avg_reuse_depth
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-182955,exact_history,5,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-182955,tvcache_tcg,5,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-183441-5baee8b8,ours_improved,4,3,0.75,3,0.75,1,1
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-183441-5baee8b8,full_workspace_hash,4,4,1.0,4,1.0,4,2.5
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-183441-5baee8b8,exact_history,4,1,0.25,1,0.25,1,1
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-183441-5baee8b8,tvcache_tcg,4,4,1.0,4,1.0,4,2.5
slack-clone,slack-clone-20260904-091312,slack-clone-20260904-091800-cc597f4a,ours_improved,4,0,0.0,0,0.0,0,0.0
slack-clone,slack-clone-20260904-091312,slack-clone-20260904-091800-cc597f4a,full_workspace_hash,4,2,0.5,2,0.5,2,1.5
slack-clone,slack-clone-20260904-091312,slack-clone-20260904-091800-cc597f4a,exact_history,4,0,0.0,0,0.0,0,0.0
slack-clone,slack-clone-20260904-091312,slack-clone-20260904-091800-cc597f4a,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,ours_improved,6,0,0.0,0,0.0,0,0.0
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,full_workspace_hash,6,6,1.0,6,1.0,6,3.5
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,exact_history,6,0,0.0,0,0.0,0,0.0
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,tvcache_tcg,6,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183418-991e5ad0,ours_improved,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183418-991e5ad0,full_workspace_hash,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183418-991e5ad0,exact_history,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183418-991e5ad0,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183422-0d3154f5,ours_improved,4,1,0.25,1,0.25,1,1
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183422-0d3154f5,full_workspace_hash,4,1,0.25,1,0.25,1,1
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183422-0d3154f5,exact_history,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-182955,stripe-clone-20260901-183422-0d3154f5,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-182955,ours_improved,5,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-182955,full_workspace_hash,5,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-182955,exact_history,5,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-182955,tvcache_tcg,5,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-183422-0d3154f5,ours_improved,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-183422-0d3154f5,full_workspace_hash,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-183422-0d3154f5,exact_history,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183418-991e5ad0,stripe-clone-20260901-183422-0d3154f5,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-182955,ours_improved,5,1,0.2,1,0.2,1,1
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-182955,full_workspace_hash,5,1,0.2,1,0.2,1,1
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-182955,exact_history,5,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-182955,tvcache_tcg,5,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-183418-991e5ad0,ours_improved,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-183418-991e5ad0,full_workspace_hash,4,0,0.0,0,0.0,0,0.0
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-183418-991e5ad0,exact_history,4,0,0.0,0,0.0,0,0.0
